Address,"22 WILDWOOD ROAD, Stow MA","585 Revere Beach Pkwy - Unit 408, Revere MA","134 Oak St, Ashland MA","37 Casey Way, Attleboro MA","78 North Street, Andover MA","19 Brahman Drive, Norton MA","424 Charles St, Malden MA","57 Wachusett St Unit 1, Jamaica Plain MA","12 Tayler, west bridgewater MA","56 Wildwood Ave, East Bridgewater MA","196 West 6th Street, South Boston MA","45 South Main St, Burrillville RI","10 Cobb Lane, Foxboro MA","4 Lantern Lane, Medway MA","903 Old Bridge Lane , Bellingham MA","35 School Street, Plainville MA","8 Azalea Lane, Peabody MA","241 Perkins St Unit B302, Jamaica Plain MA","5 Cranberry Ln, Kennebunk ME","23 Hattie Lane, Millis MA"
"22 WILDWOOD ROAD, Stow MA",0,51,25.86666667,55.51666667,41.31666667,59.11666667,50.1,48.73333333,61.91666667,67.31666667,46.86666667,63.45,54.53333333,34.51666667,40.23333333,45.1,50.7,47.23333333,102.6166667,48.63333333
"585 Revere Beach Pkwy - Unit 408, Revere MA",51.38333333,0,41.25,53,35.83333333,56.28333333,15.08333333,30.18333333,44.31666667,48.98333333,17.45,79.78333333,43.66666667,52.21666667,56.61666667,49.5,20.33333333,26.98333333,83.21666667,55.68333333
"134 Oak St, Ashland MA",25.91666667,40.21666667,0,43.56666667,45.7,47.16666667,41.13333333,39.53333333,52.71666667,58.11666667,36.08333333,55.33333333,43.25,22.56666667,28.28333333,33.13333333,45.98333333,38.03333333,107,23.45
"37 Casey Way, Attleboro MA",56.88333333,54.18333333,44.2,0,71.05,19.85,54.98333333,45.98333333,38.35,43.16666667,45.16666667,42.15,23.8,30.91666667,29.05,18.7,66.56666667,51.61666667,130.2166667,42.03333333
"78 North Street, Andover MA",41.58333333,37.61666667,46.95,69.25,0,73.5,27.25,48.85,62.98333333,67.65,36.11666667,83.48333333,59.91666667,53.76666667,59.48333333,64.35,28.7,45.93333333,70.65,64.86666667
"19 Brahman Drive, Norton MA",59.4,57.36666667,46.73333333,19.28333333,74.23333333,0,58.16666667,49.16666667,28.85,33.66666667,48.35,51.38333333,26.1,33.45,31.58333333,22.1,69.75,54.8,133.4,44.55
"424 Charles St, Malden MA",47.85,19.4,43.13333333,54.88333333,24.08333333,58.16666667,0,32.06666667,46.2,50.86666667,19.33333333,81.66666667,45.55,54.1,58.5,51.38333333,20.63333333,29.15,84.3,57.56666667
"57 Wachusett St Unit 1, Jamaica Plain MA",47.95,32.7,39.71666667,45.13333333,49.58333333,49.38333333,33.51666667,0,40.25,45.65,23.35,71.91666667,35.8,52.21666667,48.75,41.63333333,44.83333333,11.25,107.7166667,47.16666667
"12 Tayler, west bridgewater MA",61.21666667,44.25,53,36.91666667,61.11666667,28.15,45.05,39.25,0,9.716666667,35.23333333,63.7,28.76666667,41.6,39.73333333,32.61666667,56.96666667,47.15,119.85,52.7
"56 Wildwood Ave, East Bridgewater MA",66.88333333,50.01666667,58.66666667,41.8,66.88333333,33.03333333,50.81666667,44.91666667,9.5,0,41,68.58333333,33.63333333,46.48333333,44.61666667,37.5,62.73333333,52.81666667,125.6166667,57.58333333
"196 West 6th Street, South Boston MA",46.75,15.86666667,36.63333333,45.36666667,33.41666667,48.65,17.35,21.68333333,36.68333333,41.35,0,72.15,36.03333333,47.6,48.98333333,41.86666667,29.26666667,26.61666667,92.15,51.05
"45 South Main St, Burrillville RI",63.01666667,81.75,53.86666667,41.38333333,82.28333333,51.81666667,82.55,73.55,65.93333333,70.75,72.73333333,0,51.38333333,43.18333333,38.25,43.53333333,88.83333333,79.18333333,143.5833333,55.03333333
"10 Cobb Lane, Foxboro MA",53.45,43.98333333,40.76666667,22.01666667,60.85,26,44.78333333,35.78333333,28.83333333,33.65,34.96666667,48.8,0,27.5,25.63333333,19.88333333,56.36666667,41.41666667,120.0166667,32.45
"4 Lantern Lane, Medway MA",33.38333333,51.28333333,20.71666667,30.08333333,51.95,33.68333333,52.21666667,50.6,43.51666667,48.33333333,47.16666667,43.66666667,29.75,0,12.73333333,19.65,57.05,49.1,113.25,14.53333333
"903 Old Bridge Lane , Bellingham MA",40.88333333,57.78333333,28.2,27.75,59.43333333,31.35,58.58333333,49.58333333,41.18333333,46,48.76666667,39.05,27.41666667,13.25,0,17.31666667,64.53333333,55.21666667,120.7333333,23.88333333
"35 School Street, Plainville MA",45.3,50.15,32.61666667,18.1,63.85,21.48333333,50.95,41.95,33.55,38.36666667,41.13333333,42.01666667,19.75,19.33333333,17.48333333,0,62.53333333,47.58333333,125.15,30.45
"8 Azalea Lane, Peabody MA",50.88333333,18.93333333,47.01666667,64.35,28.01666667,67.63333333,23.1,41.53333333,55.66666667,60.33333333,28.8,89.98333333,55.01666667,57.98333333,63.7,60.85,0,38.33333333,72.13333333,61.45
"241 Perkins St Unit B302, Jamaica Plain MA",45.41666667,27.16666667,37.18333333,49.68333333,42.73333333,53.93333333,26.66666667,9.783333333,48.2,52.86666667,24.5,76.46666667,40.35,48.15,53.3,46.18333333,38.33333333,0,101.2166667,48.83333333
"5 Cranberry Ln, Kennebunk ME",102.3333333,83.95,107.6833333,128.65,69.88333333,132.9,87.11666667,106.55,120.6833333,125.35,93.81666667,144.2166667,119.3166667,114.5,120.2166667,125.0833333,69.33333333,103.35,0,124.2666667
"23 Hattie Lane, Millis MA",46.18333333,56.18333333,23.65,41.61666667,64.75,45.21666667,57.1,49.15,55.05,59.86666667,51.26666667,55.68333333,34,14.96666667,23.73333333,31.18333333,61.93333333,50.56666667,125.5833333,0
